dataset,metric,number_of_variants,ft_percentage,boost,mistake_type,mistake_percentage,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
argouml-spl,f1,3,15,True,ErroneousConjunction,50,0.03454207625030757,False,1.3008657759271575e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,True,ErroneousConjunction,75,0.07049650010496376,True,4.360737272453675e-17,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,True,ErroneousConjunction,100,0.04585518089007876,False,9.389125596323467e-13,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,True,SwappedFeature,25,0.050421725010586546,True,8.503221802867505e-22,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,True,SwappedFeature,50,0.05786753533314766,True,1.721037266033124e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,15,True,SwappedFeature,75,0.07484896382897564,True,1.444830367645117e-09,True,5.122274160385132e-08,True
argouml-spl,f1,3,15,True,SwappedFeature,100,0.04796424828142351,False,0.23295698734807815,False,0.1853703036904335,False
argouml-spl,f1,3,20,False,SwappedCondition,25,0.027272032545135265,False,5.855691948219696e-22,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,False,SwappedCondition,50,0.22599179482794723,True,5.405137305607614e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,False,SwappedCondition,75,0.13555101002543074,True,0.0006547113863681933,True,0.000519084744155407,True
argouml-spl,f1,3,20,False,SwappedCondition,100,0.020289845532728445,False,0.9376585403286233,False,0.8689388632774353,False
argouml-spl,f1,3,20,False,ErroneousConjunction,25,0.05569075413847568,True,1.4561102040107268e-23,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,False,ErroneousConjunction,50,0.05240546464688936,True,1.5528206371595895e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,False,ErroneousConjunction,75,0.040140208192675594,False,1.4823682013993106e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,False,ErroneousConjunction,100,0.07774484003137613,True,2.3300245366655993e-11,True,4.6566128730773926e-09,True
argouml-spl,f1,3,20,False,SwappedFeature,25,0.04413014166429366,False,1.1414812292955732e-21,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,False,SwappedFeature,50,0.05710418868491542,True,4.730844440661139e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,False,SwappedFeature,75,0.058697273829988024,True,5.679469518596315e-07,True,2.210959792137146e-06,True
argouml-spl,f1,3,20,False,SwappedFeature,100,0.0738942112219274,True,0.989921945052907,False,0.9711560355499387,False
argouml-spl,f1,3,20,True,SwappedCondition,25,0.027278860843125318,False,5.831540429096789e-22,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,True,SwappedCondition,50,0.22016046586445276,True,5.486710821488133e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,True,SwappedCondition,75,0.134286602473429,True,0.0006602260268177218,True,0.000519084744155407,True
argouml-spl,f1,3,20,True,SwappedCondition,100,0.020400129819881794,False,0.9388321637542721,False,0.873281947337091,False
argouml-spl,f1,3,20,True,ErroneousConjunction,25,0.05565185638911906,True,1.43870983795417e-23,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,True,ErroneousConjunction,50,0.05221225627421025,True,1.553907987755884e-20,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,True,ErroneousConjunction,75,0.04035072405400218,False,1.4795901919406309e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,True,ErroneousConjunction,100,0.08293315389374042,True,2.4171145807703828e-11,True,4.6566128730773926e-09,True
argouml-spl,f1,3,20,True,SwappedFeature,25,0.04341835117535882,False,1.1207975785319684e-21,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,True,SwappedFeature,50,0.057187051472261004,True,4.700453426284999e-16,True,9.313225746154785e-10,True
argouml-spl,f1,3,20,True,SwappedFeature,75,0.05829225066554632,True,5.870879225211345e-07,True,2.210959792137146e-06,True
argouml-spl,f1,3,20,True,SwappedFeature,100,0.07551011134886847,True,0.990042735729159,False,0.9711560355499387,False
