dataset,metric,number_of_variants,ft_percentage,boost,shapiro,normally_distributed,ttest,ttest_significant,wilcoxon,wilcoxon_significant
dia,precision,5,20,False,0.005992343001677072,False,5.5364020508968976e-21,True,9.313225746154785e-10,True
dia,precision,5,20,True,0.12037811129533516,True,4.2262191340589875e-11,True,9.313225746154785e-10,True
dia,precision,5,25,False,0.007856418172585982,False,4.0498162865099766e-22,True,9.313225746154785e-10,True
dia,precision,5,25,True,0.05724592901218425,True,2.280732351423822e-11,True,9.313225746154785e-10,True
dia,precision,7,5,False,0.42917410387941385,True,1.015680491350755e-09,True,1.8948097207904354e-06,True
dia,precision,7,5,True,0.03130617537833078,False,4.819811067091567e-09,True,1.8948097207904354e-06,True
dia,precision,7,10,False,0.47121143322996495,True,4.350330615903397e-11,True,9.313225746154785e-10,True
dia,precision,7,10,True,0.03990399995445242,False,3.1896662000619135e-09,True,9.313225746154785e-10,True
dia,precision,7,15,False,0.21786329299942325,True,6.993005534403114e-12,True,9.313225746154785e-10,True
dia,precision,7,15,True,0.09967460634661864,True,4.029848232419321e-09,True,9.313225746154785e-10,True
dia,precision,7,20,False,0.18497926293465733,True,1.2525539869971213e-12,True,1.2815416253625037e-06,True
dia,precision,7,20,True,0.026848123352163314,False,1.1337917246947736e-08,True,1.2815416253625037e-06,True
dia,precision,7,25,False,0.1463964504471194,True,1.1286581466791864e-13,True,1.862645149230957e-09,True
dia,precision,7,25,True,0.21827165500917423,True,1.0133193681700594e-09,True,1.862645149230957e-09,True
dia,recall,3,5,False,1.0,True,nan,False,nan,False
dia,recall,3,5,True,2.232278140333662e-06,False,0.9995172230886048,False,0.9999702151104627,False
dia,recall,3,10,False,1.0,True,nan,False,nan,False
dia,recall,3,10,True,3.9082789721659104e-07,False,0.9986755178164574,False,0.9999340830555086,False
dia,recall,3,15,False,7.76637667465555e-12,False,0.8372090059919032,False,0.8413447460685429,False
dia,recall,3,15,True,8.075929931181545e-06,False,0.9997725682187073,False,0.9999340830555086,False
dia,recall,3,20,False,7.76637667465555e-12,False,0.8372090059919032,False,0.8413447460685429,False
dia,recall,3,20,True,1.0607666051940251e-08,False,0.9940997871648517,False,0.9999019533227331,False
dia,recall,3,25,False,7.76637667465555e-12,False,0.8372090059919032,False,0.8413447460685429,False
dia,recall,3,25,True,1.9788332556405937e-06,False,0.9993473518067196,False,0.9995092301237392,False
dia,recall,5,5,False,1.0,True,nan,False,nan,False
dia,recall,5,5,True,5.75006915004613e-08,False,0.9957292340676672,False,0.9995092301237392,False
dia,recall,5,10,False,7.76637667465555e-12,False,0.8372090059919032,False,0.8413447460685429,False
dia,recall,5,10,True,3.0202654864632833e-09,False,0.9857953717009946,False,0.9995092301237392,False
dia,recall,5,15,False,4.859726278657154e-11,False,0.9189377667538084,False,0.9101437525605001,False
dia,recall,5,15,True,1.0437191232447123e-07,False,0.9969116752579862,False,0.9992631095780624,False
dia,recall,5,20,False,2.2002191754610417e-10,False,0.9577676663572499,False,0.9455952849797271,False
dia,recall,5,20,True,3.4179702531485307e-09,False,0.9854555174421478,False,0.9996725208283072,False
dia,recall,5,25,False,2.3485377575728745e-10,False,0.9550142813645864,False,0.9455952849797271,False
dia,recall,5,25,True,7.793271798830838e-06,False,0.9997414219037372,False,0.9992631095780624,False
dia,recall,7,5,False,7.76637667465555e-12,False,0.8372090059919033,False,0.8413447460685429,False
dia,recall,7,5,True,3.8487761560355864e-08,False,0.9949285838582882,False,0.9988911392678814,False
dia,recall,7,10,False,7.76637667465555e-12,False,0.8372090059919032,False,0.8413447460685429,False
dia,recall,7,10,True,2.0237910112633785e-10,False,0.9498329981847734,False,0.9910197612369607,False
dia,recall,7,15,False,3.9129137232775273e-10,False,0.9585147590303786,False,0.9660554225690855,False
dia,recall,7,15,True,2.195109377512094e-09,False,0.9803969104658977,False,0.9861460753209601,False
dia,recall,7,20,False,5.718810123179578e-10,False,0.9672462485852289,False,0.9660554225690855,False
dia,recall,7,20,True,5.650234535824235e-10,False,0.9656781153463567,False,0.9861460753209601,False
dia,recall,7,25,False,2.3816747859428725e-08,False,0.9934654009322932,False,0.9974689839368661,False
dia,recall,7,25,True,1.1187814214490016e-06,False,0.9993033791876339,False,0.9992631095780624,False
apache-httpd,f1,3,5,False,0.00037088189823763124,False,5.5962516640404e-10,True,1.3507974243552752e-05,True
apache-httpd,f1,3,5,True,0.004625114609950968,False,5.920145291935314e-07,True,1.3507974243552752e-05,True
apache-httpd,f1,3,10,False,0.0003418963788972308,False,3.6850016340549655e-14,True,9.313225746154785e-10,True
apache-httpd,f1,3,10,True,0.00012046469828846395,False,3.1718700601034827e-06,True,9.313225746154785e-10,True
apache-httpd,f1,3,15,False,0.0004232113901110647,False,3.6400242380362384e-15,True,9.313225746154785e-10,True
apache-httpd,f1,3,15,True,0.003232932000446963,False,1.1363324236066834e-07,True,9.313225746154785e-10,True
apache-httpd,f1,3,20,False,5.9403146495722075e-05,False,1.173758752542666e-15,True,9.313225746154785e-10,True
apache-httpd,f1,3,20,True,3.653697738883206e-05,False,4.089177734633762e-07,True,9.313225746154785e-10,True
apache-httpd,f1,3,25,False,0.00043789915351938563,False,2.1863235561047895e-16,True,9.313225746154785e-10,True
apache-httpd,f1,3,25,True,0.0010501511856100753,False,4.242095715344676e-08,True,9.313225746154785e-10,True
apache-httpd,f1,5,5,False,0.010237992305167613,False,3.389294222831886e-13,True,1.8948097207904354e-06,True
